id,TARGET
429127,0
322658,1
244653,0
303335,0
111808,1
64271,0
216844,1
122029,0
31709,0
209983,0
123988,1
382489,0
189552,0
379943,1
367856,0
347958,0
413848,1
45098,0
331619,0
342310,0
239975,0
33175,0
218661,0
296237,0
73451,0
183177,0
421704,1
360744,0
284955,1
180082,0
233849,0
209573,0
126731,0
324024,0
64356,1
315077,0
405865,0
69088,0
138244,1
78681,0
276457,1
45494,0
305594,0
243680,0
263975,0
212877,0
6494,0
257889,0
196549,0
404962,0
161195,0
286638,0
355209,0
34231,0
302093,0
275739,0
423125,0
357648,0
336156,0
117257,1
122416,0
29242,0
6361,1
197906,0
297723,0
256277,0
107740,0
415988,1
60446,0
403306,0
280324,0
307387,0
385870,0
265950,0
209835,0
81218,0
172943,1
419053,0
363177,0
15075,0
223281,0
312781,1
304124,0
138318,0
116992,0
342654,0
348998,0
292670,0
324614,1
57485,1
218792,0
399404,0
50777,1
251010,0
39415,0
187754,0
188603,0
247632,0
1387,1
149260,0
39218,0
98418,0
409006,0
235824,0
228392,0
312100,0
272870,0
106990,1
84610,0
3431,0
328801,0
305563,0
224835,0
60521,0
378924,0
193168,1
294278,0
406060,0
140127,0
155970,0
254529,0
129637,0
271938,0
426124,0
319988,0
356723,0
80465,1
222655,0
297057,1
414079,1
60888,0
374830,0
100739,0
244482,0
235595,0
4540,0
395049,0
74868,0
26605,0
428939,0
56549,0
257714,0
365000,0
46845,0
171162,0
327452,0
60496,0
187946,0
183628,0
124693,0
208292,0
257273,0
268393,1
40780,0
88612,1
175434,1
210447,0
2054,1
279281,0
85797,0
162797,0
138042,0
87929,0
222177,0
294351,0
155965,0
126458,0
39059,0
70259,0
355569,0
363266,0
342547,1
78130,0
394585,0
311284,0
128073,1
101722,0
245449,0
296628,0
145800,0
359888,0
170834,0
182628,0
43350,1
138236,0
63156,0
89915,0
60954,0
112256,0
216341,1
176004,0
206427,1
95475,0
326573,0
106096,0
162990,0
83289,0
427560,0
114987,0
45682,0
424227,0
102023,0
59789,0
24988,0
9367,0
153161,0
268434,0
166069,1
127119,0
353053,0
333754,1
416794,0
37611,0
257557,0
276968,0
357273,1
241095,0
5715,0
42585,1
215948,0
399680,0
155728,0
374689,0
353097,0
426733,1
275341,0
187799,0
319253,0
341429,0
314848,0
361272,0
145420,0
202799,0
123144,0
188016,0
227324,0
311303,0
126369,1
410555,0
47282,0
363622,0
169350,0
48780,0
384353,0
418325,0
183993,0
386812,1
18436,0
409688,0
151368,0
18181,0
397095,0
281585,0
350602,0
198470,0
31655,0
12987,0
396425,0
109125,0
355761,0
431310,0
127564,0
4332,0
302530,1
364281,1
105261,1
434135,0
312512,0
420958,0
44538,0
229684,0
327255,1
219358,1
59966,0
349468,1
201315,0
416398,0
110980,1
176619,0
135136,0
383302,0
268289,0
139657,0
328946,0
361386,1
367361,1
271693,1
428504,0
245657,0
288580,0
128908,0
351073,0
238337,0
294605,0
378324,0
247224,0
152263,0
246498,0
157097,0
344279,0
64433,0
429364,0
49015,0
168705,0
45762,0
300708,0
301374,0
162649,0
20513,0
209421,0
235230,0
61698,0
210150,0
414222,0
406048,0
203820,0
320804,0
229354,0
400812,1
220262,0
346592,0
122059,1
420462,0
293418,0
274556,0
39752,0
146553,1
93518,0
87350,0
339476,0
404713,0
361340,0
414626,0
156346,0
323787,0
307339,0
102677,0
149869,1
212420,0
106581,0
206119,0
271305,0
260133,0
172970,0
428547,0
150623,0
146585,0
43746,0
185211,0
95617,1
384791,0
431898,0
396024,0
176534,0
331898,1
289721,0
170840,0
299943,0
128484,0
271477,0
101976,0
66016,0
138459,0
208660,0
304936,0
56133,0
267778,0
392348,0
308933,0
40473,0
405488,0
225056,0
191205,0
172865,0
117535,0
52574,0
210055,1
342306,1
246174,0
162573,0
211855,0
27153,0
22895,0
216857,1
243722,0
47972,0
197410,0
91132,0
218660,0
342252,1
406440,0
209901,0
389785,0
434368,0
263863,0
149306,0
391111,0
175771,0
101208,0
221313,0
71268,0
174365,1
381323,1
351296,0
359217,0
109939,1
157363,0
148400,0
104295,0
390548,0
397323,0
202853,0
260186,0
92056,1
141483,0
241329,0
165975,0
8969,0
69479,0
59498,1
148106,0
147076,0
373005,0
234615,0
295308,0
43501,0
329382,1
187492,0
119629,1
284773,0
67750,0
158749,0
79571,1
187952,1
10601,0
218713,0
364368,0
339118,0
359681,0
333305,0
253473,0
66389,0
267644,1
139455,0
100374,0
277975,0
183480,0
322172,0
187258,0
430642,0
328539,0
358184,0
83134,0
273161,0
404959,1
347026,0
112125,0
321498,0
291815,0
201501,0
251436,0
14349,1
2704,0
192119,0
363154,0
12304,0
311242,0
197954,1
225495,0
278251,1
199483,0
160514,1
304895,0
298285,0
39070,0
213368,0
361084,1
209939,0
256619,0
385511,0
114448,1
218250,0
241426,1
357947,0
309131,0
95112,1
146816,0
236967,0
409854,0
152218,0
12723,0
126187,0
313475,1
290677,0
249922,0
220046,0
69683,0
381629,0
57808,0
392025,1
335478,1
57680,0
84839,0
410982,1
398283,0
384996,1
380935,0
91528,1
257708,0
300899,0
414272,0
412688,1
41626,0
408468,0
354314,0
373510,0
351114,0
21360,1
341356,0
83226,1
88162,0
431856,0
87095,0
117119,0
410334,0
7112,1
427309,0
217055,0
32949,0
171990,1
314651,0
394988,1
254402,1
67693,0
386674,0
122404,0
250101,0
367601,0
305281,0
306489,0
329113,0
413947,0
29873,0
252285,0
248872,0
133357,1
143238,1
274762,1
374698,0
2574,0
416312,0
38785,0
124105,0
83293,0
184721,0
116921,0
198474,0
19171,0
